req_id,priority,domain,module,phase,status,habigoal_path,issue_number,notes,requirement
ATH-001,Must,athlete_management,M1,1,done,"repositories/child.repository.ts, app/api/athletes/route.ts",,Staff can create athlete profiles,The system shall allow authorised staff to create athlete profiles.
ATH-002,Must,athlete_management,M1,1,done,"app/api/athletes/[id]/assignment/route.ts, app/api/teams/route.ts",#65,Team/position/season assignment API and admin UI,The system shall support athlete assignment to club team age group and position.
ATH-003,Must,athlete_management,M1,1,done,"app/api/athletes/[id]/assignment/route.ts, app/api/children/[id]/history/route.ts",#78,seasonHistory on assignment PATCH,The system shall store athlete development history over multiple seasons.
ATH-004,Must,athlete_management,M1,1,done,"lib/athlete-field-access.ts, app/api/children/[id]/route.ts",#182,Injury flags with RBAC filtering on GET,The system shall support injury history flags without exposing medical notes to unauthorised users.
ATH-005,Must,athlete_management,M1,1,done,"app/[locale]/dashboard/parent/page.tsx, types/consent.ts",#183,Parent portal and parentGuardian fields,The system shall support parent/guardian association for youth athletes.
ATH-006,Should,athlete_management,M1,1,done,"components/admin/AthleteProfileAdminPanel.tsx",,Status enum on assignment API,The system shall support athlete status: active injured unavailable trialist archived.
ATH-007,Should,athlete_management,M1,1,done,"components/admin/AthleteProfileAdminPanel.tsx",,customAttributes on assignment API,The system shall support custom attributes per organisation.
CHK-001,Must,daily_checkin,M1,1,done,components/forms/AthleteCheckInApp.tsx,,Mobile-responsive check-in works,Athletes shall be able to complete a daily check-in from mobile.
CHK-002,Must,daily_checkin,M1,1,done,"app/api/settings/check-in-config/route.ts, components/admin/CheckInConfigAdminPanel.tsx",#184,Org-configurable questions admin + dynamic form,Check-ins shall support configurable questions per organisation.
CHK-003,Should,daily_checkin,M1,1,done,"services/twin-pipeline.service.ts, app/api/assessments/route.ts",,Duplicate prevention with staffOverride,The system shall prevent duplicate check-ins for the same athlete and day unless staff override is enabled.
CHK-004,Must,daily_checkin,M1,1,done,app/[locale]/dashboard/coach/page.tsx,,Coach dashboard shows completion and concerns,The system shall show completion status to coaches.
